Team, Conference, Net, AdjOff, AdjDef, AdjPace, NetSOS, OffSOS, DefSOS
UC Santa Barbara,Big West,-0.88,113.84,114.73,65.1,-5.14,105.86,111.0
Montana State,Big Sky,-1.36,111.14,112.49,66.55,-4.43,109.47,113.9
East Tennessee State,SoCon,-1.69,108.35,110.04,66.57,-12.71,105.15,117.86
Middle Tennessee,CUSA,-1.94,111.42,113.36,66.16,-0.32,109.56,109.89
Oregon State,WCC,-2.06,110.45,112.51,65.6,3.17,110.96,107.79
William & Mary,CAA,-2.13,108.31,110.44,73.25,-6.86,106.56,113.42
Portland State,Big Sky,-2.14,103.65,105.78,68.46,-6.61,108.72,115.33
Idaho,Big Sky,-2.18,107.77,109.95,67.66,-5.63,108.34,113.97
Charlotte,American,-2.19,114.25,116.44,63.86,-0.21,109.81,110.01
Loyola Marymount,WCC,-2.2,105.93,108.13,67.59,-0.55,109.98,110.53
Kennesaw State,CUSA,-2.25,109.14,111.39,71.6,-3.41,108.09,111.51
Valparaiso,MVC,-2.29,107.49,109.77,65.86,-1.04,108.93,109.97
Toledo,MAC,-2.41,111.81,114.22,68.43,-4.2,109.26,113.46
Fordham,A-10,-2.85,102.22,105.08,65.12,-5.57,106.51,112.08
Northern Colorado,Big Sky,-2.86,112.9,115.76,69.04,-6.28,107.7,113.99
Bowling Green,MAC,-2.92,104.36,107.29,68.79,-8.71,106.46,115.17
Troy,Sun Belt,-2.98,112.52,115.5,65.71,-7.97,106.23,114.2
New Mexico State,CUSA,-3.04,109.4,112.44,67.22,-5.25,106.88,112.14
Kent State,MAC,-3.04,111.0,114.04,70.94,-6.09,108.08,114.17
Drake,MVC,-3.04,110.74,113.78,67.89,-0.09,108.96,109.05
Wright State,Horizon,-3.19,110.43,113.62,67.4,-7.73,108.36,116.09
Charleston,CAA,-3.31,106.81,110.12,68.03,-6.5,107.14,113.64
UC Davis,Big West,-3.68,106.69,110.37,69.57,-3.17,107.29,110.45
Arkansas State,Sun Belt,-3.69,109.57,113.25,72.97,-8.43,105.93,114.37
Austin Peay,ASUN,-4.03,106.15,110.18,68.98,-11.8,106.4,118.21
Winthrop,Big South,-4.14,108.59,112.73,70.71,-8.07,106.71,114.78
Western Kentucky,CUSA,-4.16,107.72,111.88,70.17,-4.01,108.78,112.78
Pennsylvania,Ivy,-4.19,106.71,110.9,69.66,-3.34,109.06,112.4
Oakland,Horizon,-4.25,112.82,117.07,70.33,-2.78,110.0,112.78
Robert Morris,Horizon,-4.33,110.53,114.86,65.22,-8.61,107.46,116.07
Towson,CAA,-4.51,101.77,106.27,64.5,-3.95,108.48,112.43
Cal State Fullerton,Big West,-4.56,107.32,111.88,72.85,-2.49,108.19,110.68
UT Arlington,WAC,-4.7,100.08,104.78,65.48,-4.52,106.99,111.51
Furman,SoCon,-4.79,106.76,111.55,66.74,-9.8,107.13,116.93
Mercer,SoCon,-4.82,109.31,114.13,69.6,-9.75,107.06,116.81
Central Arkansas,ASUN,-4.85,107.83,112.68,68.62,-9.44,107.88,117.32
